,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
0,24.0,b'2',b'3',3.0,b'1',b'1',b'2',b'3',b'0',b'1'
1,45.0,b'1',b'3',10.0,b'1',b'1',b'3',b'4',b'0',b'1'
2,43.0,b'2',b'3',7.0,b'1',b'1',b'3',b'4',b'0',b'1'
3,42.0,b'3',b'2',9.0,b'1',b'1',b'3',b'3',b'0',b'1'
4,36.0,b'3',b'3',8.0,b'1',b'1',b'3',b'2',b'0',b'1'
5,19.0,b'4',b'4',0.0,b'1',b'1',b'3',b'3',b'0',b'1'
6,38.0,b'2',b'3',6.0,b'1',b'1',b'3',b'2',b'0',b'1'
7,21.0,b'3',b'3',1.0,b'1',b'0',b'3',b'2',b'0',b'1'
8,27.0,b'2',b'3',3.0,b'1',b'1',b'3',b'4',b'0',b'1'
9,45.0,b'1',b'1',8.0,b'1',b'1',b'2',b'2',b'1',b'1'
10,38.0,b'1',b'3',2.0,b'1',b'0',b'3',b'3',b'1',b'1'
11,42.0,b'1',b'4',4.0,b'1',b'1',b'1',b'3',b'0',b'1'
12,44.0,b'4',b'4',1.0,b'1',b'0',b'1',b'4',b'0',b'1'
13,42.0,b'2',b'4',1.0,b'1',b'0',b'3',b'3',b'0',b'1'
14,38.0,b'3',b'4',2.0,b'1',b'1',b'2',b'3',b'0',b'1'
15,26.0,b'2',b'4',0.0,b'1',b'1',b'4',b'1',b'0',b'1'
16,48.0,b'1',b'1',7.0,b'1',b'1',b'2',b'4',b'0',b'1'
17,39.0,b'2',b'2',6.0,b'1',b'1',b'2',b'4',b'0',b'1'
18,37.0,b'2',b'2',8.0,b'1',b'1',b'2',b'3',b'0',b'1'
19,39.0,b'2',b'1',5.0,b'1',b'1',b'2',b'1',b'1',b'1'
20,26.0,b'3',b'4',1.0,b'1',b'0',b'4',b'1',b'0',b'1'
21,24.0,b'3',b'4',0.0,b'1',b'0',b'3',b'1',b'0',b'1'
22,46.0,b'4',b'4',1.0,b'0',b'1',b'1',b'4',b'0',b'1'
23,39.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
24,48.0,b'4',b'4',5.0,b'1',b'1',b'1',b'4',b'0',b'1'
25,40.0,b'2',b'4',8.0,b'1',b'1',b'3',b'3',b'0',b'1'
26,38.0,b'4',b'4',1.0,b'1',b'0',b'1',b'4',b'0',b'1'
27,29.0,b'4',b'4',0.0,b'1',b'0',b'1',b'4',b'0',b'1'
28,24.0,b'4',b'4',0.0,b'1',b'0',b'2',b'2',b'0',b'1'
29,43.0,b'1',b'2',8.0,b'1',b'1',b'2',b'4',b'0',b'1'
30,31.0,b'3',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
31,31.0,b'4',b'4',2.0,b'1',b'1',b'3',b'2',b'0',b'1'
32,26.0,b'2',b'4',0.0,b'1',b'0',b'1',b'2',b'0',b'1'
33,33.0,b'2',b'2',2.0,b'1',b'1',b'3',b'1',b'0',b'1'
34,24.0,b'2',b'3',1.0,b'1',b'1',b'3',b'3',b'0',b'1'
35,42.0,b'1',b'3',9.0,b'1',b'1',b'3',b'2',b'1',b'1'
36,43.0,b'1',b'2',8.0,b'1',b'0',b'3',b'1',b'0',b'1'
37,25.0,b'3',b'3',4.0,b'1',b'1',b'3',b'2',b'0',b'1'
38,42.0,b'2',b'2',3.0,b'1',b'1',b'3',b'4',b'0',b'1'
39,28.0,b'2',b'2',1.0,b'1',b'1',b'2',b'4',b'0',b'1'
40,28.0,b'1',b'1',3.0,b'1',b'1',b'3',b'1',b'0',b'1'
41,47.0,b'2',b'3',0.0,b'1',b'0',b'1',b'3',b'0',b'1'
42,48.0,b'2',b'4',2.0,b'1',b'1',b'1',b'3',b'0',b'1'
43,40.0,b'4',b'4',2.0,b'0',b'1',b'1',b'4',b'0',b'1'
44,28.0,b'2',b'2',1.0,b'1',b'1',b'3',b'2',b'0',b'1'
45,25.0,b'1',b'4',1.0,b'1',b'1',b'2',b'1',b'0',b'1'
46,32.0,b'4',b'4',2.0,b'1',b'1',b'2',b'3',b'0',b'1'
47,45.0,b'4',b'4',0.0,b'1',b'1',b'2',b'4',b'0',b'1'
48,26.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
49,26.0,b'4',b'4',0.0,b'1',b'0',b'1',b'4',b'0',b'1'
50,31.0,b'4',b'4',0.0,b'1',b'0',b'1',b'4',b'0',b'1'
51,49.0,b'4',b'4',7.0,b'0',b'1',b'2',b'4',b'0',b'1'
52,40.0,b'3',b'4',8.0,b'1',b'1',b'3',b'3',b'0',b'1'
53,34.0,b'4',b'4',1.0,b'0',b'0',b'2',b'3',b'0',b'1'
54,36.0,b'2',b'4',5.0,b'1',b'1',b'2',b'3',b'0',b'1'
55,20.0,b'2',b'2',2.0,b'1',b'1',b'2',b'2',b'1',b'1'
56,43.0,b'4',b'4',5.0,b'1',b'0',b'1',b'4',b'0',b'1'
57,37.0,b'3',b'4',7.0,b'1',b'1',b'2',b'1',b'0',b'1'
58,21.0,b'2',b'3',0.0,b'1',b'1',b'3',b'4',b'0',b'1'
59,49.0,b'4',b'4',6.0,b'1',b'1',b'1',b'2',b'0',b'1'
60,42.0,b'3',b'3',10.0,b'1',b'1',b'3',b'3',b'0',b'1'
61,20.0,b'2',b'3',1.0,b'1',b'1',b'2',b'3',b'0',b'1'
62,47.0,b'1',b'2',2.0,b'1',b'0',b'1',b'3',b'0',b'1'
63,22.0,b'2',b'3',1.0,b'1',b'1',b'2',b'1',b'0',b'1'
64,27.0,b'2',b'4',1.0,b'1',b'0',b'1',b'3',b'0',b'1'
65,24.0,b'2',b'4',1.0,b'1',b'1',b'3',b'1',b'0',b'1'
66,44.0,b'4',b'2',8.0,b'1',b'1',b'3',b'3',b'0',b'1'
67,30.0,b'2',b'3',3.0,b'1',b'1',b'3',b'1',b'0',b'1'
68,23.0,b'3',b'4',2.0,b'1',b'1',b'3',b'4',b'0',b'1'
69,25.0,b'4',b'4',1.0,b'1',b'0',b'3',b'3',b'0',b'1'
70,47.0,b'2',b'3',4.0,b'1',b'1',b'2',b'3',b'0',b'1'
71,48.0,b'2',b'3',8.0,b'1',b'1',b'1',b'4',b'0',b'1'
72,29.0,b'2',b'3',1.0,b'1',b'1',b'1',b'1',b'0',b'1'
73,29.0,b'2',b'3',1.0,b'1',b'1',b'1',b'2',b'0',b'1'
74,21.0,b'3',b'4',0.0,b'1',b'1',b'2',b'3',b'0',b'1'
75,21.0,b'3',b'4',1.0,b'1',b'1',b'2',b'3',b'0',b'1'
76,29.0,b'4',b'4',0.0,b'1',b'0',b'2',b'4',b'0',b'1'
77,45.0,b'3',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'1'
78,33.0,b'2',b'3',2.0,b'1',b'1',b'3',b'2',b'0',b'1'
79,38.0,b'4',b'4',1.0,b'1',b'0',b'1',b'4',b'0',b'1'
80,24.0,b'4',b'4',0.0,b'0',b'1',b'1',b'4',b'0',b'1'
81,49.0,b'4',b'4',6.0,b'0',b'0',b'1',b'4',b'0',b'1'
82,24.0,b'2',b'4',1.0,b'1',b'0',b'4',b'4',b'0',b'1'
83,28.0,b'4',b'4',0.0,b'0',b'0',b'1',b'4',b'0',b'1'
84,30.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
85,33.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
86,25.0,b'4',b'4',1.0,b'1',b'1',b'1',b'3',b'0',b'1'
87,35.0,b'4',b'4',3.0,b'0',b'1',b'1',b'4',b'0',b'1'
88,27.0,b'2',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'1'
89,24.0,b'2',b'2',3.0,b'1',b'0',b'2',b'1',b'0',b'1'
90,25.0,b'2',b'3',0.0,b'1',b'1',b'2',b'1',b'0',b'1'
91,46.0,b'2',b'4',6.0,b'1',b'1',b'1',b'4',b'0',b'1'
92,26.0,b'2',b'2',3.0,b'1',b'1',b'2',b'1',b'0',b'1'
93,38.0,b'2',b'2',1.0,b'1',b'0',b'3',b'2',b'0',b'1'
94,47.0,b'1',b'2',3.0,b'1',b'1',b'1',b'3',b'0',b'1'
95,41.0,b'1',b'3',10.0,b'1',b'1',b'2',b'3',b'1',b'1'
96,41.0,b'2',b'3',1.0,b'1',b'0',b'2',b'3',b'0',b'1'
97,28.0,b'4',b'4',5.0,b'1',b'1',b'2',b'1',b'0',b'1'
98,17.0,b'2',b'2',3.0,b'1',b'1',b'3',b'1',b'0',b'1'
99,27.0,b'2',b'3',5.0,b'1',b'1',b'2',b'1',b'0',b'1'
100,27.0,b'1',b'2',4.0,b'1',b'1',b'3',b'1',b'1',b'1'
101,19.0,b'2',b'3',0.0,b'1',b'0',b'2',b'2',b'0',b'1'
102,27.0,b'2',b'4',3.0,b'1',b'0',b'3',b'2',b'0',b'1'
103,26.0,b'4',b'3',4.0,b'1',b'1',b'2',b'3',b'0',b'1'
104,23.0,b'2',b'4',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
105,40.0,b'3',b'3',3.0,b'1',b'1',b'3',b'2',b'0',b'1'
106,22.0,b'4',b'4',0.0,b'1',b'1',b'1',b'1',b'0',b'1'
107,44.0,b'3',b'4',4.0,b'1',b'0',b'1',b'3',b'0',b'1'
108,29.0,b'2',b'3',2.0,b'1',b'1',b'3',b'1',b'0',b'1'
109,26.0,b'2',b'3',3.0,b'1',b'1',b'3',b'1',b'0',b'1'
110,45.0,b'4',b'4',1.0,b'1',b'0',b'3',b'3',b'0',b'1'
111,32.0,b'3',b'3',7.0,b'1',b'0',b'2',b'3',b'0',b'1'
112,21.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
113,31.0,b'2',b'2',4.0,b'1',b'1',b'3',b'3',b'0',b'1'
114,21.0,b'3',b'4',0.0,b'1',b'1',b'1',b'3',b'0',b'1'
115,37.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
116,34.0,b'4',b'4',3.0,b'0',b'0',b'3',b'3',b'0',b'1'
117,44.0,b'3',b'4',1.0,b'1',b'1',b'1',b'3',b'0',b'1'
118,49.0,b'4',b'3',5.0,b'1',b'1',b'2',b'3',b'0',b'1'
119,26.0,b'2',b'3',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
120,38.0,b'1',b'2',1.0,b'1',b'1',b'2',b'4',b'1',b'1'
121,36.0,b'2',b'3',5.0,b'1',b'1',b'2',b'3',b'0',b'1'
122,26.0,b'3',b'4',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
123,20.0,b'2',b'3',1.0,b'0',b'1',b'3',b'2',b'0',b'1'
124,44.0,b'2',b'1',3.0,b'1',b'0',b'3',b'2',b'0',b'1'
125,31.0,b'3',b'4',2.0,b'1',b'1',b'1',b'2',b'1',b'1'
126,45.0,b'4',b'4',1.0,b'1',b'1',b'1',b'3',b'0',b'1'
127,36.0,b'2',b'3',2.0,b'1',b'1',b'3',b'2',b'1',b'1'
128,43.0,b'1',b'3',2.0,b'1',b'0',b'2',b'2',b'1',b'1'
129,25.0,b'3',b'4',0.0,b'1',b'1',b'1',b'3',b'0',b'1'
130,48.0,b'3',b'4',3.0,b'1',b'1',b'3',b'1',b'0',b'1'
131,30.0,b'4',b'4',0.0,b'0',b'0',b'1',b'3',b'0',b'1'
132,48.0,b'1',b'2',8.0,b'1',b'1',b'3',b'1',b'0',b'1'
133,28.0,b'3',b'4',1.0,b'1',b'1',b'3',b'1',b'1',b'1'
134,26.0,b'4',b'4',1.0,b'1',b'1',b'1',b'3',b'0',b'1'
135,26.0,b'3',b'3',3.0,b'1',b'0',b'2',b'4',b'0',b'1'
136,24.0,b'4',b'4',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
137,21.0,b'3',b'3',2.0,b'1',b'1',b'2',b'2',b'0',b'1'
138,30.0,b'4',b'4',2.0,b'0',b'1',b'3',b'1',b'0',b'1'
139,20.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
140,33.0,b'4',b'4',2.0,b'1',b'1',b'1',b'3',b'0',b'1'
141,30.0,b'4',b'4',0.0,b'0',b'0',b'3',b'3',b'0',b'1'
142,47.0,b'4',b'4',1.0,b'1',b'0',b'1',b'3',b'0',b'1'
143,35.0,b'4',b'4',2.0,b'0',b'1',b'3',b'3',b'0',b'1'
144,30.0,b'2',b'4',2.0,b'1',b'1',b'3',b'4',b'0',b'1'
145,33.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'1'
146,45.0,b'4',b'4',4.0,b'1',b'1',b'2',b'3',b'0',b'1'
147,41.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
148,32.0,b'4',b'4',1.0,b'1',b'0',b'1',b'3',b'0',b'1'
149,43.0,b'4',b'4',5.0,b'1',b'1',b'1',b'4',b'0',b'1'
150,44.0,b'4',b'4',3.0,b'1',b'1',b'2',b'4',b'0',b'1'
151,21.0,b'1',b'3',4.0,b'1',b'1',b'3',b'2',b'0',b'1'
152,44.0,b'3',b'4',2.0,b'1',b'1',b'1',b'4',b'1',b'1'
153,23.0,b'4',b'4',2.0,b'1',b'1',b'2',b'4',b'0',b'1'
154,47.0,b'1',b'2',4.0,b'1',b'1',b'2',b'2',b'0',b'1'
155,47.0,b'1',b'1',7.0,b'1',b'1',b'2',b'3',b'1',b'1'
156,35.0,b'4',b'4',2.0,b'1',b'0',b'2',b'4',b'0',b'1'
157,32.0,b'2',b'4',4.0,b'1',b'1',b'3',b'2',b'0',b'1'
158,45.0,b'1',b'4',5.0,b'1',b'1',b'1',b'2',b'1',b'1'
159,22.0,b'2',b'2',2.0,b'1',b'1',b'3',b'1',b'0',b'1'
160,23.0,b'1',b'1',3.0,b'1',b'1',b'2',b'1',b'1',b'1'
161,30.0,b'4',b'4',0.0,b'1',b'0',b'1',b'4',b'0',b'1'
162,44.0,b'1',b'3',0.0,b'1',b'1',b'2',b'3',b'0',b'1'
163,40.0,b'3',b'3',1.0,b'1',b'0',b'3',b'3',b'0',b'1'
164,34.0,b'4',b'4',4.0,b'1',b'1',b'2',b'3',b'0',b'1'
165,37.0,b'3',b'4',1.0,b'1',b'1',b'2',b'4',b'0',b'1'
166,49.0,b'3',b'4',5.0,b'1',b'1',b'1',b'4',b'0',b'1'
167,26.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
168,22.0,b'4',b'4',0.0,b'1',b'1',b'2',b'4',b'0',b'1'
169,20.0,b'3',b'4',0.0,b'1',b'0',b'2',b'4',b'0',b'1'
170,47.0,b'4',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'1'
171,49.0,b'2',b'2',8.0,b'1',b'0',b'3',b'1',b'0',b'1'
172,22.0,b'2',b'4',1.0,b'1',b'1',b'2',b'4',b'0',b'1'
173,22.0,b'3',b'3',2.0,b'1',b'1',b'3',b'4',b'0',b'1'
174,25.0,b'3',b'2',2.0,b'1',b'1',b'3',b'2',b'0',b'1'
175,32.0,b'2',b'4',0.0,b'1',b'0',b'3',b'4',b'0',b'1'
176,28.0,b'4',b'4',0.0,b'0',b'1',b'1',b'3',b'0',b'1'
177,30.0,b'2',b'4',4.0,b'1',b'0',b'1',b'4',b'0',b'1'
178,45.0,b'2',b'4',2.0,b'1',b'0',b'2',b'4',b'0',b'1'
179,49.0,b'2',b'1',10.0,b'1',b'0',b'2',b'4',b'0',b'1'
180,34.0,b'4',b'4',2.0,b'1',b'0',b'1',b'4',b'0',b'1'
181,25.0,b'2',b'4',1.0,b'1',b'1',b'2',b'2',b'0',b'1'
182,42.0,b'1',b'3',12.0,b'1',b'1',b'3',b'3',b'0',b'1'
183,48.0,b'2',b'1',3.0,b'1',b'0',b'4',b'3',b'0',b'1'
184,35.0,b'3',b'4',5.0,b'1',b'0',b'2',b'2',b'0',b'1'
185,33.0,b'2',b'3',1.0,b'1',b'1',b'3',b'4',b'0',b'1'
186,20.0,b'2',b'4',0.0,b'1',b'1',b'3',b'2',b'0',b'1'
187,36.0,b'2',b'3',4.0,b'1',b'1',b'3',b'1',b'1',b'1'
188,19.0,b'3',b'3',2.0,b'1',b'1',b'3',b'2',b'0',b'1'
189,27.0,b'3',b'2',3.0,b'1',b'1',b'3',b'2',b'0',b'1'
190,30.0,b'1',b'2',4.0,b'1',b'1',b'4',b'1',b'0',b'1'
191,31.0,b'3',b'4',3.0,b'1',b'0',b'3',b'2',b'0',b'1'
192,44.0,b'1',b'1',11.0,b'1',b'1',b'4',b'1',b'1',b'1'
193,24.0,b'3',b'3',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
194,18.0,b'3',b'4',0.0,b'1',b'0',b'3',b'1',b'0',b'1'
195,45.0,b'1',b'2',6.0,b'1',b'1',b'3',b'3',b'1',b'1'
196,25.0,b'2',b'2',3.0,b'1',b'0',b'3',b'1',b'0',b'1'
197,36.0,b'3',b'4',6.0,b'1',b'1',b'2',b'4',b'0',b'1'
198,30.0,b'1',b'1',5.0,b'1',b'1',b'2',b'2',b'0',b'1'
199,32.0,b'2',b'4',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
200,42.0,b'1',b'4',11.0,b'0',b'1',b'2',b'2',b'1',b'1'
201,22.0,b'2',b'4',0.0,b'1',b'1',b'3',b'3',b'0',b'1'
202,36.0,b'2',b'4',2.0,b'1',b'0',b'2',b'4',b'0',b'1'
203,27.0,b'2',b'3',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
204,40.0,b'3',b'4',1.0,b'1',b'1',b'1',b'2',b'0',b'1'
205,22.0,b'2',b'3',2.0,b'1',b'1',b'3',b'1',b'0',b'1'
206,26.0,b'2',b'4',0.0,b'1',b'1',b'3',b'1',b'0',b'1'
207,31.0,b'3',b'4',0.0,b'1',b'0',b'2',b'3',b'0',b'1'
208,32.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
209,34.0,b'2',b'3',3.0,b'1',b'0',b'3',b'2',b'0',b'1'
210,40.0,b'3',b'3',1.0,b'0',b'1',b'3',b'4',b'0',b'1'
211,45.0,b'1',b'2',1.0,b'1',b'0',b'3',b'3',b'0',b'1'
212,26.0,b'3',b'4',3.0,b'1',b'1',b'3',b'2',b'0',b'1'
213,48.0,b'1',b'3',5.0,b'1',b'1',b'3',b'2',b'0',b'1'
214,43.0,b'1',b'3',8.0,b'1',b'1',b'3',b'1',b'0',b'1'
215,27.0,b'3',b'4',2.0,b'1',b'0',b'2',b'2',b'0',b'1'
216,42.0,b'3',b'2',1.0,b'1',b'1',b'3',b'3',b'0',b'1'
217,34.0,b'3',b'2',8.0,b'1',b'0',b'2',b'3',b'1',b'1'
218,32.0,b'3',b'2',4.0,b'1',b'1',b'2',b'2',b'1',b'1'
219,31.0,b'3',b'3',2.0,b'1',b'0',b'2',b'3',b'0',b'1'
220,22.0,b'2',b'3',1.0,b'1',b'1',b'3',b'3',b'0',b'1'
221,27.0,b'3',b'4',0.0,b'1',b'1',b'3',b'3',b'0',b'1'
222,37.0,b'1',b'2',2.0,b'1',b'1',b'2',b'2',b'1',b'1'
223,22.0,b'1',b'2',0.0,b'1',b'1',b'2',b'4',b'0',b'1'
224,47.0,b'4',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'1'
225,32.0,b'4',b'4',4.0,b'1',b'0',b'1',b'3',b'0',b'1'
226,37.0,b'3',b'3',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
227,45.0,b'1',b'3',1.0,b'1',b'1',b'2',b'3',b'1',b'1'
228,47.0,b'1',b'4',8.0,b'1',b'1',b'3',b'3',b'0',b'1'
229,28.0,b'3',b'4',0.0,b'1',b'1',b'3',b'2',b'0',b'1'
230,48.0,b'1',b'3',4.0,b'1',b'1',b'3',b'4',b'1',b'1'
231,26.0,b'2',b'4',1.0,b'1',b'1',b'1',b'3',b'0',b'1'
232,21.0,b'3',b'4',0.0,b'1',b'0',b'3',b'1',b'0',b'1'
233,20.0,b'2',b'3',1.0,b'1',b'1',b'2',b'4',b'0',b'1'
234,39.0,b'1',b'1',5.0,b'1',b'0',b'3',b'1',b'1',b'1'
235,27.0,b'2',b'3',1.0,b'1',b'0',b'3',b'4',b'0',b'1'
236,37.0,b'2',b'3',5.0,b'1',b'0',b'3',b'2',b'0',b'1'
237,24.0,b'4',b'4',1.0,b'1',b'1',b'3',b'3',b'0',b'1'
238,39.0,b'3',b'3',6.0,b'1',b'1',b'3',b'3',b'0',b'1'
239,20.0,b'3',b'3',1.0,b'1',b'1',b'2',b'3',b'0',b'1'
240,19.0,b'3',b'4',1.0,b'1',b'1',b'2',b'3',b'0',b'1'
241,40.0,b'3',b'3',4.0,b'1',b'1',b'2',b'2',b'0',b'1'
242,41.0,b'1',b'4',4.0,b'1',b'1',b'3',b'3',b'0',b'1'
243,22.0,b'4',b'4',2.0,b'1',b'1',b'1',b'3',b'0',b'1'
244,32.0,b'3',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'1'
245,34.0,b'4',b'4',2.0,b'0',b'1',b'1',b'4',b'0',b'1'
246,34.0,b'4',b'4',2.0,b'1',b'0',b'1',b'3',b'0',b'1'
247,23.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
248,27.0,b'4',b'4',1.0,b'1',b'1',b'1',b'2',b'0',b'1'
249,46.0,b'3',b'2',11.0,b'1',b'0',b'2',b'2',b'1',b'1'
250,34.0,b'4',b'4',3.0,b'0',b'1',b'1',b'2',b'0',b'1'
251,33.0,b'4',b'4',5.0,b'1',b'1',b'3',b'3',b'0',b'1'
252,25.0,b'3',b'3',1.0,b'1',b'1',b'3',b'2',b'0',b'1'
253,26.0,b'4',b'4',1.0,b'1',b'0',b'1',b'4',b'0',b'1'
254,48.0,b'1',b'3',4.0,b'1',b'1',b'3',b'3',b'1',b'1'
255,36.0,b'4',b'4',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
256,38.0,b'3',b'4',2.0,b'0',b'1',b'2',b'4',b'0',b'1'
257,44.0,b'1',b'2',7.0,b'1',b'1',b'3',b'4',b'0',b'1'
258,44.0,b'2',b'2',1.0,b'1',b'0',b'3',b'2',b'0',b'1'
259,39.0,b'3',b'3',1.0,b'0',b'1',b'3',b'4',b'0',b'1'
260,47.0,b'1',b'2',7.0,b'1',b'0',b'3',b'2',b'0',b'1'
261,43.0,b'1',b'3',5.0,b'1',b'0',b'3',b'2',b'0',b'1'
262,29.0,b'3',b'3',3.0,b'1',b'0',b'2',b'4',b'0',b'1'
263,22.0,b'3',b'3',0.0,b'1',b'1',b'2',b'2',b'0',b'1'
264,31.0,b'2',b'4',5.0,b'1',b'1',b'3',b'2',b'0',b'1'
265,22.0,b'4',b'4',0.0,b'1',b'1',b'1',b'3',b'0',b'1'
266,45.0,b'3',b'4',6.0,b'1',b'1',b'2',b'4',b'0',b'1'
267,42.0,b'3',b'4',10.0,b'1',b'0',b'3',b'2',b'0',b'1'
268,38.0,b'3',b'3',7.0,b'1',b'1',b'3',b'1',b'0',b'1'
269,47.0,b'1',b'1',6.0,b'1',b'0',b'3',b'1',b'0',b'1'
270,30.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
271,28.0,b'3',b'4',1.0,b'1',b'1',b'3',b'4',b'0',b'1'
272,25.0,b'3',b'4',1.0,b'1',b'1',b'2',b'1',b'0',b'1'
273,49.0,b'2',b'4',6.0,b'0',b'1',b'2',b'3',b'0',b'1'
274,23.0,b'3',b'4',2.0,b'1',b'0',b'2',b'3',b'0',b'1'
275,35.0,b'3',b'4',1.0,b'0',b'1',b'2',b'3',b'0',b'1'
276,47.0,b'2',b'1',5.0,b'0',b'1',b'2',b'4',b'0',b'1'
277,35.0,b'2',b'3',0.0,b'1',b'1',b'2',b'4',b'0',b'1'
278,44.0,b'3',b'4',6.0,b'1',b'1',b'3',b'4',b'0',b'1'
279,48.0,b'4',b'4',3.0,b'1',b'1',b'2',b'4',b'0',b'1'
280,43.0,b'2',b'3',6.0,b'1',b'0',b'3',b'3',b'0',b'1'
281,21.0,b'2',b'4',2.0,b'1',b'1',b'3',b'1',b'0',b'1'
282,22.0,b'4',b'4',0.0,b'1',b'1',b'1',b'4',b'0',b'1'
283,41.0,b'3',b'3',5.0,b'1',b'1',b'3',b'4',b'0',b'1'
284,29.0,b'2',b'4',2.0,b'1',b'0',b'4',b'4',b'1',b'1'
285,44.0,b'4',b'4',5.0,b'0',b'1',b'2',b'4',b'0',b'1'
286,22.0,b'4',b'4',0.0,b'1',b'0',b'1',b'4',b'0',b'1'
287,23.0,b'2',b'4',4.0,b'1',b'1',b'3',b'3',b'0',b'1'
288,22.0,b'2',b'1',0.0,b'1',b'1',b'3',b'2',b'0',b'1'
289,35.0,b'1',b'3',0.0,b'1',b'1',b'2',b'2',b'1',b'1'
290,24.0,b'4',b'4',1.0,b'1',b'1',b'2',b'2',b'0',b'1'
291,36.0,b'4',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'1'
292,47.0,b'1',b'2',2.0,b'1',b'1',b'2',b'4',b'0',b'1'
293,40.0,b'4',b'4',3.0,b'1',b'1',b'3',b'4',b'0',b'1'
294,29.0,b'4',b'4',1.0,b'1',b'1',b'1',b'3',b'0',b'1'
