,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
295,49.0,b'3',b'4',6.0,b'1',b'1',b'1',b'4',b'0',b'1'
296,49.0,b'3',b'4',9.0,b'1',b'1',b'1',b'4',b'0',b'1'
297,47.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
298,28.0,b'4',b'4',3.0,b'0',b'1',b'1',b'4',b'0',b'1'
299,26.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'1'
300,29.0,b'1',b'2',7.0,b'1',b'1',b'2',b'4',b'0',b'1'
301,29.0,b'4',b'2',0.0,b'1',b'0',b'2',b'2',b'0',b'1'
302,25.0,b'3',b'3',1.0,b'1',b'1',b'3',b'4',b'0',b'1'
303,24.0,b'2',b'4',2.0,b'1',b'1',b'3',b'4',b'0',b'1'
304,23.0,b'4',b'4',1.0,b'1',b'0',b'2',b'4',b'0',b'1'
305,23.0,b'4',b'4',2.0,b'1',b'0',b'3',b'3',b'0',b'1'
306,44.0,b'1',b'2',2.0,b'1',b'1',b'2',b'4',b'0',b'1'
307,39.0,b'3',b'4',6.0,b'1',b'1',b'1',b'4',b'0',b'1'
308,21.0,b'3',b'3',0.0,b'1',b'1',b'2',b'2',b'0',b'1'
309,22.0,b'3',b'4',2.0,b'1',b'1',b'2',b'3',b'0',b'1'
310,47.0,b'3',b'4',3.0,b'1',b'1',b'2',b'3',b'0',b'1'
311,36.0,b'3',b'3',2.0,b'1',b'0',b'2',b'4',b'0',b'1'
312,25.0,b'1',b'4',2.0,b'1',b'0',b'3',b'3',b'1',b'1'
313,40.0,b'4',b'4',2.0,b'1',b'1',b'3',b'4',b'0',b'1'
314,36.0,b'2',b'2',0.0,b'0',b'0',b'3',b'3',b'0',b'1'
315,37.0,b'2',b'3',5.0,b'0',b'0',b'2',b'4',b'0',b'1'
316,28.0,b'1',b'4',2.0,b'1',b'0',b'2',b'3',b'0',b'1'
317,30.0,b'3',b'3',5.0,b'1',b'0',b'3',b'4',b'0',b'1'
318,16.0,b'3',b'4',1.0,b'1',b'1',b'3',b'3',b'0',b'1'
319,32.0,b'2',b'3',4.0,b'0',b'1',b'2',b'4',b'0',b'1'
320,40.0,b'4',b'4',3.0,b'0',b'1',b'3',b'4',b'0',b'1'
321,40.0,b'1',b'1',2.0,b'1',b'0',b'3',b'4',b'0',b'1'
322,45.0,b'3',b'4',2.0,b'0',b'1',b'1',b'4',b'0',b'1'
323,21.0,b'1',b'3',0.0,b'1',b'0',b'3',b'4',b'1',b'1'
324,28.0,b'4',b'4',1.0,b'0',b'1',b'1',b'3',b'0',b'1'
325,25.0,b'4',b'4',1.0,b'0',b'1',b'2',b'3',b'0',b'1'
326,44.0,b'1',b'3',4.0,b'1',b'1',b'3',b'3',b'1',b'1'
327,35.0,b'4',b'4',2.0,b'0',b'1',b'3',b'4',b'0',b'1'
328,49.0,b'4',b'4',4.0,b'1',b'1',b'3',b'4',b'0',b'1'
329,39.0,b'3',b'4',1.0,b'0',b'1',b'3',b'4',b'0',b'1'
330,32.0,b'3',b'4',1.0,b'0',b'1',b'2',b'4',b'0',b'1'
331,35.0,b'1',b'2',0.0,b'1',b'0',b'4',b'4',b'0',b'1'
332,21.0,b'1',b'2',1.0,b'1',b'0',b'3',b'4',b'0',b'1'
333,47.0,b'4',b'4',1.0,b'0',b'1',b'1',b'4',b'0',b'1'
334,27.0,b'4',b'4',1.0,b'0',b'1',b'3',b'4',b'0',b'1'
335,31.0,b'2',b'2',8.0,b'1',b'1',b'2',b'2',b'1',b'1'
336,34.0,b'4',b'3',0.0,b'0',b'0',b'3',b'3',b'0',b'1'
337,30.0,b'4',b'4',3.0,b'1',b'0',b'2',b'4',b'0',b'1'
338,25.0,b'4',b'4',0.0,b'1',b'0',b'2',b'4',b'0',b'1'
339,28.0,b'3',b'4',3.0,b'1',b'1',b'2',b'1',b'0',b'1'
340,30.0,b'2',b'3',4.0,b'1',b'0',b'3',b'2',b'0',b'1'
341,42.0,b'3',b'3',8.0,b'1',b'1',b'4',b'3',b'0',b'1'
342,23.0,b'4',b'4',0.0,b'0',b'1',b'2',b'4',b'0',b'1'
343,45.0,b'3',b'4',3.0,b'0',b'1',b'3',b'4',b'0',b'1'
344,21.0,b'4',b'4',1.0,b'1',b'1',b'3',b'3',b'0',b'1'
345,28.0,b'4',b'4',1.0,b'0',b'1',b'2',b'4',b'0',b'1'
346,33.0,b'4',b'4',1.0,b'0',b'0',b'3',b'4',b'0',b'1'
347,32.0,b'1',b'2',4.0,b'1',b'1',b'3',b'2',b'1',b'1'
348,25.0,b'2',b'2',3.0,b'1',b'1',b'3',b'3',b'0',b'1'
349,25.0,b'3',b'3',1.0,b'1',b'1',b'3',b'1',b'0',b'1'
350,19.0,b'2',b'2',2.0,b'1',b'1',b'3',b'1',b'0',b'1'
351,40.0,b'1',b'2',6.0,b'1',b'1',b'3',b'1',b'1',b'1'
352,24.0,b'2',b'2',2.0,b'1',b'1',b'3',b'1',b'1',b'1'
353,32.0,b'2',b'2',1.0,b'1',b'1',b'2',b'1',b'0',b'1'
354,35.0,b'2',b'3',8.0,b'1',b'1',b'3',b'2',b'0',b'1'
355,27.0,b'2',b'2',1.0,b'1',b'0',b'3',b'2',b'1',b'1'
356,23.0,b'2',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'1'
357,22.0,b'2',b'4',4.0,b'1',b'1',b'3',b'4',b'0',b'1'
358,49.0,b'2',b'3',0.0,b'1',b'1',b'1',b'2',b'0',b'1'
359,25.0,b'2',b'3',0.0,b'1',b'1',b'2',b'4',b'0',b'1'
360,18.0,b'3',b'4',1.0,b'1',b'1',b'3',b'1',b'0',b'1'
361,43.0,b'3',b'3',4.0,b'1',b'1',b'2',b'4',b'0',b'1'
362,37.0,b'1',b'3',0.0,b'1',b'1',b'3',b'4',b'0',b'1'
363,30.0,b'2',b'3',2.0,b'1',b'0',b'2',b'4',b'0',b'1'
364,29.0,b'3',b'2',0.0,b'1',b'1',b'2',b'2',b'0',b'1'
365,20.0,b'2',b'3',3.0,b'1',b'1',b'3',b'4',b'0',b'1'
366,42.0,b'3',b'3',3.0,b'1',b'0',b'2',b'4',b'0',b'1'
367,23.0,b'4',b'4',1.0,b'1',b'1',b'2',b'3',b'0',b'1'
368,34.0,b'2',b'3',7.0,b'1',b'0',b'3',b'3',b'0',b'1'
369,23.0,b'3',b'3',6.0,b'1',b'1',b'3',b'3',b'0',b'1'
370,38.0,b'3',b'3',5.0,b'1',b'1',b'1',b'4',b'0',b'1'
371,37.0,b'2',b'3',4.0,b'1',b'1',b'2',b'3',b'0',b'1'
372,17.0,b'2',b'3',1.0,b'1',b'1',b'3',b'2',b'0',b'1'
373,39.0,b'3',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'1'
374,49.0,b'1',b'3',0.0,b'1',b'1',b'3',b'3',b'1',b'1'
375,23.0,b'3',b'3',2.0,b'1',b'1',b'2',b'2',b'0',b'1'
376,40.0,b'3',b'3',3.0,b'1',b'1',b'2',b'2',b'1',b'1'
377,32.0,b'2',b'4',5.0,b'1',b'1',b'2',b'3',b'0',b'1'
378,18.0,b'2',b'3',1.0,b'1',b'1',b'2',b'3',b'0',b'1'
379,46.0,b'1',b'2',8.0,b'1',b'1',b'3',b'3',b'1',b'1'
380,37.0,b'3',b'3',6.0,b'1',b'1',b'2',b'2',b'0',b'1'
381,38.0,b'2',b'4',5.0,b'0',b'1',b'2',b'2',b'0',b'1'
382,37.0,b'2',b'3',2.0,b'0',b'0',b'3',b'3',b'0',b'1'
383,25.0,b'2',b'3',1.0,b'1',b'0',b'2',b'1',b'0',b'1'
384,38.0,b'2',b'4',5.0,b'1',b'1',b'3',b'3',b'0',b'1'
385,39.0,b'4',b'4',2.0,b'1',b'0',b'1',b'4',b'0',b'1'
386,44.0,b'4',b'4',3.0,b'1',b'0',b'1',b'4',b'1',b'1'
387,19.0,b'4',b'4',0.0,b'0',b'1',b'3',b'4',b'0',b'1'
388,28.0,b'2',b'4',1.0,b'1',b'0',b'3',b'4',b'0',b'1'
389,20.0,b'2',b'3',1.0,b'1',b'1',b'3',b'4',b'0',b'1'
390,33.0,b'4',b'4',0.0,b'1',b'0',b'3',b'3',b'0',b'1'
391,33.0,b'4',b'4',5.0,b'1',b'1',b'3',b'4',b'0',b'1'
392,47.0,b'1',b'4',6.0,b'1',b'1',b'1',b'4',b'0',b'1'
393,25.0,b'3',b'3',0.0,b'1',b'1',b'3',b'4',b'0',b'1'
394,29.0,b'4',b'4',0.0,b'1',b'0',b'2',b'4',b'0',b'1'
395,37.0,b'4',b'4',2.0,b'0',b'1',b'1',b'4',b'0',b'1'
396,49.0,b'1',b'3',6.0,b'1',b'1',b'2',b'4',b'0',b'1'
397,48.0,b'1',b'1',8.0,b'1',b'0',b'2',b'2',b'1',b'1'
398,19.0,b'2',b'2',0.0,b'1',b'1',b'2',b'2',b'0',b'1'
399,46.0,b'1',b'2',3.0,b'1',b'1',b'2',b'1',b'1',b'1'
400,39.0,b'1',b'2',2.0,b'1',b'1',b'3',b'1',b'1',b'1'
401,30.0,b'3',b'4',5.0,b'1',b'1',b'1',b'4',b'0',b'1'
402,40.0,b'2',b'2',8.0,b'1',b'1',b'2',b'2',b'0',b'1'
403,43.0,b'1',b'2',1.0,b'1',b'1',b'3',b'4',b'1',b'1'
404,29.0,b'3',b'4',4.0,b'1',b'0',b'1',b'3',b'0',b'1'
405,23.0,b'3',b'3',2.0,b'1',b'1',b'3',b'3',b'0',b'1'
406,24.0,b'2',b'2',3.0,b'1',b'1',b'2',b'4',b'0',b'1'
407,47.0,b'3',b'3',2.0,b'1',b'1',b'2',b'4',b'0',b'1'
408,35.0,b'3',b'3',2.0,b'1',b'0',b'2',b'2',b'0',b'1'
409,19.0,b'3',b'3',1.0,b'1',b'1',b'2',b'4',b'0',b'1'
410,45.0,b'2',b'3',4.0,b'1',b'0',b'2',b'4',b'0',b'1'
411,42.0,b'2',b'4',2.0,b'1',b'1',b'3',b'4',b'0',b'1'
412,47.0,b'1',b'1',1.0,b'1',b'1',b'3',b'4',b'0',b'1'
413,25.0,b'2',b'2',2.0,b'1',b'1',b'3',b'1',b'0',b'1'
414,20.0,b'2',b'3',3.0,b'1',b'1',b'3',b'4',b'0',b'1'
415,33.0,b'3',b'3',6.0,b'1',b'1',b'3',b'4',b'0',b'2'
416,46.0,b'4',b'3',5.0,b'1',b'1',b'1',b'4',b'0',b'2'
417,35.0,b'4',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'2'
418,26.0,b'4',b'4',2.0,b'1',b'0',b'1',b'4',b'0',b'2'
419,36.0,b'3',b'3',5.0,b'1',b'0',b'1',b'3',b'0',b'2'
420,37.0,b'3',b'4',3.0,b'1',b'1',b'1',b'3',b'0',b'2'
421,44.0,b'2',b'4',4.0,b'1',b'1',b'3',b'3',b'0',b'2'
422,32.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'2'
423,25.0,b'2',b'4',6.0,b'1',b'1',b'3',b'4',b'0',b'2'
424,42.0,b'2',b'3',7.0,b'1',b'1',b'3',b'4',b'0',b'2'
425,30.0,b'4',b'4',2.0,b'0',b'0',b'1',b'4',b'0',b'2'
426,39.0,b'4',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'2'
427,26.0,b'1',b'1',2.0,b'1',b'1',b'3',b'4',b'0',b'2'
428,30.0,b'2',b'4',3.0,b'1',b'1',b'3',b'4',b'0',b'2'
429,38.0,b'4',b'4',4.0,b'0',b'0',b'1',b'2',b'0',b'2'
430,23.0,b'4',b'4',1.0,b'1',b'1',b'1',b'2',b'0',b'2'
431,18.0,b'3',b'4',1.0,b'1',b'1',b'3',b'4',b'0',b'2'
432,25.0,b'3',b'4',3.0,b'1',b'1',b'2',b'3',b'0',b'2'
433,37.0,b'4',b'4',2.0,b'1',b'0',b'3',b'3',b'0',b'2'
434,20.0,b'3',b'4',1.0,b'1',b'1',b'3',b'2',b'0',b'2'
435,45.0,b'4',b'4',7.0,b'1',b'1',b'1',b'4',b'0',b'2'
436,28.0,b'2',b'1',2.0,b'1',b'0',b'3',b'3',b'0',b'2'
437,33.0,b'2',b'2',3.0,b'1',b'1',b'2',b'3',b'0',b'2'
438,28.0,b'2',b'3',2.0,b'1',b'1',b'3',b'3',b'0',b'2'
439,30.0,b'2',b'4',1.0,b'1',b'0',b'3',b'4',b'0',b'2'
440,32.0,b'4',b'4',4.0,b'1',b'1',b'2',b'4',b'0',b'2'
441,48.0,b'4',b'3',7.0,b'1',b'0',b'2',b'4',b'0',b'2'
442,46.0,b'4',b'4',2.0,b'1',b'0',b'1',b'4',b'0',b'2'
443,32.0,b'4',b'4',2.0,b'0',b'0',b'1',b'4',b'0',b'2'
444,49.0,b'4',b'4',10.0,b'1',b'1',b'1',b'4',b'0',b'2'
445,33.0,b'2',b'2',6.0,b'1',b'0',b'3',b'4',b'0',b'2'
446,39.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
447,35.0,b'4',b'4',5.0,b'0',b'0',b'1',b'4',b'0',b'2'
448,36.0,b'4',b'4',3.0,b'0',b'1',b'1',b'3',b'0',b'2'
449,20.0,b'3',b'4',1.0,b'1',b'1',b'2',b'4',b'0',b'2'
450,23.0,b'4',b'4',1.0,b'1',b'1',b'3',b'4',b'0',b'2'
451,26.0,b'2',b'4',2.0,b'1',b'1',b'1',b'3',b'0',b'2'
452,25.0,b'3',b'3',1.0,b'1',b'1',b'3',b'1',b'0',b'2'
453,31.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'2'
454,36.0,b'4',b'4',2.0,b'1',b'1',b'2',b'4',b'0',b'2'
455,32.0,b'3',b'3',2.0,b'1',b'0',b'3',b'4',b'0',b'2'
456,36.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
457,40.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
458,46.0,b'4',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'2'
459,42.0,b'4',b'4',8.0,b'0',b'1',b'1',b'4',b'0',b'2'
460,39.0,b'4',b'4',4.0,b'1',b'0',b'1',b'4',b'0',b'2'
461,34.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'2'
462,36.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
463,37.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
464,36.0,b'4',b'4',4.0,b'0',b'1',b'1',b'4',b'0',b'2'
465,38.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'2'
466,27.0,b'3',b'3',1.0,b'0',b'0',b'2',b'4',b'0',b'2'
467,37.0,b'4',b'3',8.0,b'1',b'1',b'1',b'4',b'0',b'2'
468,24.0,b'1',b'4',1.0,b'1',b'0',b'4',b'2',b'1',b'2'
469,42.0,b'2',b'4',8.0,b'1',b'1',b'1',b'4',b'0',b'2'
470,31.0,b'4',b'4',3.0,b'0',b'0',b'4',b'4',b'0',b'2'
471,34.0,b'2',b'3',2.0,b'1',b'1',b'3',b'3',b'0',b'2'
472,34.0,b'4',b'4',4.0,b'1',b'1',b'3',b'3',b'0',b'2'
473,36.0,b'4',b'4',4.0,b'0',b'0',b'1',b'4',b'0',b'2'
474,47.0,b'4',b'4',8.0,b'1',b'1',b'1',b'4',b'0',b'2'
475,34.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
476,44.0,b'4',b'4',6.0,b'0',b'1',b'1',b'3',b'0',b'2'
477,21.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'2'
478,42.0,b'4',b'4',6.0,b'1',b'1',b'1',b'3',b'0',b'2'
479,44.0,b'4',b'4',4.0,b'1',b'0',b'2',b'3',b'0',b'2'
480,19.0,b'4',b'4',1.0,b'1',b'1',b'2',b'3',b'0',b'2'
481,35.0,b'1',b'3',7.0,b'1',b'0',b'2',b'3',b'1',b'2'
482,24.0,b'4',b'4',1.0,b'1',b'1',b'3',b'2',b'0',b'2'
483,32.0,b'3',b'4',7.0,b'0',b'1',b'1',b'3',b'0',b'2'
484,31.0,b'3',b'3',2.0,b'1',b'0',b'3',b'3',b'0',b'2'
485,47.0,b'3',b'4',11.0,b'1',b'0',b'2',b'3',b'0',b'2'
486,38.0,b'4',b'4',6.0,b'1',b'0',b'3',b'3',b'0',b'2'
487,40.0,b'4',b'4',4.0,b'1',b'1',b'1',b'3',b'0',b'2'
488,35.0,b'3',b'3',4.0,b'1',b'1',b'3',b'2',b'0',b'2'
489,26.0,b'3',b'4',3.0,b'1',b'1',b'3',b'4',b'0',b'2'
490,23.0,b'4',b'3',3.0,b'1',b'1',b'3',b'3',b'0',b'2'
491,40.0,b'4',b'4',6.0,b'0',b'0',b'1',b'4',b'0',b'2'
492,37.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
493,39.0,b'4',b'4',5.0,b'1',b'1',b'2',b'4',b'0',b'2'
494,25.0,b'4',b'4',2.0,b'1',b'1',b'2',b'4',b'0',b'2'
495,48.0,b'4',b'4',4.0,b'0',b'1',b'1',b'4',b'0',b'2'
496,31.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
497,26.0,b'4',b'4',1.0,b'0',b'1',b'2',b'4',b'0',b'2'
498,44.0,b'4',b'4',5.0,b'1',b'0',b'1',b'4',b'0',b'2'
499,29.0,b'4',b'4',1.0,b'1',b'0',b'2',b'4',b'0',b'2'
500,36.0,b'2',b'1',6.0,b'1',b'1',b'2',b'1',b'0',b'2'
501,29.0,b'4',b'4',2.0,b'1',b'0',b'1',b'3',b'0',b'2'
502,37.0,b'2',b'3',7.0,b'1',b'1',b'3',b'4',b'0',b'2'
503,28.0,b'3',b'3',3.0,b'1',b'1',b'1',b'2',b'0',b'2'
504,40.0,b'2',b'3',6.0,b'1',b'1',b'1',b'2',b'0',b'2'
505,33.0,b'4',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'2'
506,22.0,b'4',b'4',1.0,b'1',b'1',b'1',b'2',b'0',b'2'
507,35.0,b'3',b'4',5.0,b'1',b'0',b'1',b'3',b'1',b'2'
508,32.0,b'4',b'4',3.0,b'0',b'1',b'3',b'3',b'0',b'2'
509,35.0,b'4',b'4',5.0,b'1',b'0',b'1',b'3',b'0',b'2'
510,29.0,b'4',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'2'
511,23.0,b'3',b'3',2.0,b'1',b'0',b'3',b'4',b'0',b'2'
512,35.0,b'4',b'4',2.0,b'1',b'0',b'1',b'4',b'0',b'2'
513,36.0,b'4',b'4',3.0,b'1',b'0',b'2',b'4',b'0',b'2'
514,32.0,b'4',b'4',2.0,b'1',b'0',b'1',b'4',b'0',b'2'
515,30.0,b'4',b'1',4.0,b'1',b'1',b'3',b'3',b'0',b'2'
516,36.0,b'4',b'4',4.0,b'0',b'1',b'2',b'4',b'0',b'2'
517,33.0,b'4',b'4',3.0,b'1',b'1',b'3',b'4',b'0',b'2'
518,33.0,b'3',b'4',5.0,b'0',b'1',b'3',b'3',b'0',b'2'
519,43.0,b'2',b'4',13.0,b'1',b'1',b'2',b'3',b'0',b'2'
520,35.0,b'3',b'3',6.0,b'1',b'1',b'2',b'3',b'0',b'2'
521,38.0,b'4',b'4',5.0,b'1',b'1',b'1',b'3',b'0',b'2'
522,25.0,b'3',b'1',4.0,b'1',b'1',b'3',b'1',b'0',b'2'
523,26.0,b'3',b'3',2.0,b'1',b'1',b'3',b'2',b'0',b'2'
524,24.0,b'4',b'4',1.0,b'1',b'1',b'3',b'4',b'0',b'2'
525,22.0,b'3',b'4',1.0,b'1',b'1',b'4',b'4',b'0',b'2'
526,33.0,b'2',b'3',5.0,b'1',b'0',b'2',b'1',b'0',b'2'
527,45.0,b'3',b'3',7.0,b'1',b'1',b'3',b'4',b'0',b'2'
528,29.0,b'4',b'4',2.0,b'1',b'0',b'1',b'3',b'0',b'2'
529,47.0,b'2',b'2',7.0,b'1',b'1',b'2',b'4',b'0',b'2'
530,36.0,b'3',b'2',6.0,b'1',b'1',b'3',b'2',b'0',b'2'
531,45.0,b'3',b'3',8.0,b'1',b'1',b'2',b'3',b'0',b'2'
532,47.0,b'4',b'4',6.0,b'1',b'0',b'1',b'4',b'0',b'2'
533,43.0,b'3',b'4',2.0,b'1',b'0',b'2',b'4',b'0',b'2'
534,44.0,b'4',b'4',7.0,b'1',b'1',b'3',b'2',b'0',b'2'
535,24.0,b'2',b'4',2.0,b'1',b'1',b'3',b'3',b'0',b'2'
536,28.0,b'4',b'4',2.0,b'1',b'0',b'1',b'3',b'0',b'2'
537,34.0,b'4',b'4',5.0,b'1',b'1',b'3',b'4',b'0',b'2'
538,31.0,b'3',b'4',4.0,b'1',b'1',b'1',b'3',b'0',b'2'
539,27.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
540,27.0,b'3',b'3',1.0,b'1',b'0',b'3',b'4',b'0',b'2'
541,26.0,b'4',b'4',1.0,b'1',b'0',b'1',b'3',b'0',b'2'
542,36.0,b'3',b'4',7.0,b'1',b'1',b'2',b'2',b'0',b'2'
543,35.0,b'4',b'4',4.0,b'0',b'1',b'3',b'3',b'0',b'2'
544,38.0,b'4',b'4',6.0,b'1',b'1',b'3',b'3',b'0',b'2'
545,44.0,b'4',b'4',7.0,b'1',b'1',b'2',b'4',b'0',b'2'
546,25.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'2'
547,25.0,b'4',b'4',2.0,b'0',b'1',b'1',b'3',b'0',b'2'
548,41.0,b'4',b'4',4.0,b'1',b'1',b'1',b'4',b'0',b'2'
549,41.0,b'3',b'4',5.0,b'1',b'1',b'1',b'3',b'0',b'2'
550,24.0,b'4',b'4',1.0,b'1',b'0',b'1',b'4',b'0',b'2'
551,33.0,b'4',b'4',3.0,b'1',b'1',b'3',b'3',b'0',b'2'
552,29.0,b'4',b'4',3.0,b'1',b'0',b'3',b'3',b'0',b'2'
553,47.0,b'4',b'4',4.0,b'1',b'0',b'1',b'4',b'0',b'2'
554,28.0,b'4',b'4',4.0,b'1',b'1',b'1',b'3',b'0',b'2'
555,21.0,b'2',b'2',1.0,b'1',b'1',b'3',b'2',b'0',b'2'
556,32.0,b'3',b'3',6.0,b'1',b'0',b'3',b'3',b'0',b'2'
557,30.0,b'3',b'4',2.0,b'1',b'1',b'1',b'4',b'0',b'2'
558,37.0,b'4',b'4',5.0,b'1',b'1',b'3',b'4',b'0',b'2'
559,29.0,b'4',b'3',4.0,b'1',b'0',b'3',b'2',b'0',b'2'
560,38.0,b'4',b'4',3.0,b'1',b'0',b'1',b'4',b'0',b'2'
561,49.0,b'3',b'3',11.0,b'1',b'1',b'1',b'4',b'0',b'2'
562,41.0,b'3',b'3',5.0,b'1',b'1',b'1',b'4',b'0',b'2'
563,43.0,b'3',b'4',5.0,b'1',b'1',b'3',b'2',b'1',b'2'
564,47.0,b'1',b'1',10.0,b'1',b'1',b'3',b'3',b'0',b'2'
565,22.0,b'4',b'4',1.0,b'1',b'1',b'1',b'3',b'0',b'2'
566,27.0,b'4',b'4',1.0,b'0',b'0',b'1',b'4',b'0',b'2'
567,34.0,b'3',b'4',2.0,b'0',b'1',b'2',b'3',b'0',b'2'
568,42.0,b'3',b'3',4.0,b'1',b'1',b'2',b'4',b'0',b'2'
569,39.0,b'4',b'4',3.0,b'0',b'0',b'1',b'4',b'0',b'2'
570,36.0,b'4',b'4',3.0,b'0',b'1',b'2',b'4',b'0',b'2'
571,21.0,b'4',b'4',1.0,b'1',b'1',b'2',b'1',b'0',b'2'
572,36.0,b'3',b'4',4.0,b'0',b'0',b'2',b'4',b'0',b'2'
573,25.0,b'2',b'3',1.0,b'1',b'0',b'4',b'4',b'0',b'2'
574,41.0,b'4',b'4',4.0,b'0',b'0',b'2',b'4',b'0',b'2'
575,32.0,b'4',b'4',4.0,b'0',b'0',b'2',b'4',b'0',b'2'
576,41.0,b'4',b'4',4.0,b'0',b'0',b'2',b'4',b'0',b'2'
577,43.0,b'4',b'4',3.0,b'0',b'1',b'1',b'4',b'0',b'2'
578,35.0,b'4',b'4',3.0,b'1',b'1',b'2',b'3',b'0',b'2'
579,24.0,b'4',b'4',2.0,b'1',b'0',b'1',b'3',b'0',b'2'
580,43.0,b'4',b'4',6.0,b'1',b'1',b'1',b'4',b'0',b'2'
581,48.0,b'4',b'4',7.0,b'0',b'1',b'1',b'4',b'0',b'2'
582,28.0,b'4',b'4',2.0,b'1',b'1',b'1',b'3',b'0',b'2'
583,24.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'2'
584,42.0,b'4',b'4',3.0,b'1',b'0',b'1',b'4',b'0',b'2'
585,39.0,b'4',b'4',3.0,b'1',b'1',b'1',b'4',b'0',b'2'
586,24.0,b'4',b'4',1.0,b'1',b'1',b'1',b'4',b'0',b'2'
587,33.0,b'4',b'3',5.0,b'1',b'1',b'2',b'4',b'0',b'2'
588,29.0,b'4',b'4',2.0,b'1',b'1',b'3',b'4',b'0',b'2'
589,44.0,b'4',b'4',5.0,b'1',b'1',b'1',b'4',b'0',b'2'
590,17.0,b'4',b'4',1.0,b'1',b'1',b'2',b'4',b'0',b'2'
